"TOA5","DK-SW","CR1000","93111","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2021-06-27 00:00:00",56,12.32
"2021-06-28 00:00:00",57,12.31
"2021-06-29 00:00:00",58,12.3
"2021-06-30 00:00:00",59,12.29
"2021-07-01 00:00:00",60,12.28
"2021-07-02 00:00:00",61,12.85
"2021-07-03 00:00:00",62,12.76
"2021-07-04 00:00:00",63,12.69
"2021-07-05 00:00:00",64,12.65
"2021-07-06 00:00:00",65,12.64
"2021-07-07 00:00:00",66,12.62
"2021-07-08 00:00:00",67,12.61
"2021-07-09 00:00:00",68,12.59
"2021-07-10 00:00:00",69,12.57
"2021-07-11 00:00:00",70,12.56
"2021-07-12 00:00:00",71,12.55
"2021-07-13 00:00:00",72,12.54
"2021-07-14 00:00:00",73,12.53
"2021-07-15 00:00:00",74,12.51
"2021-07-16 00:00:00",75,12.5
"2021-07-17 00:00:00",76,12.49
"2021-07-18 00:00:00",77,12.48
"2021-07-19 00:00:00",78,12.44
"2021-07-20 00:00:00",79,12.43
"2021-07-21 00:00:00",80,12.42
"2021-07-22 00:00:00",81,12.41
"2021-07-23 00:00:00",82,12.39
"2021-07-24 00:00:00",83,12.38
"2021-07-25 00:00:00",84,12.37
"2021-07-26 00:00:00",85,12.36
"2021-07-27 00:00:00",86,12.36
"2021-07-28 00:00:00",87,12.34
"2021-07-29 00:00:00",88,12.33
"2021-07-30 00:00:00",89,12.32
"2021-07-31 00:00:00",90,12.3
"2021-08-01 00:00:00",91,12.28
"2021-08-02 00:00:00",92,12.27
"2021-08-03 00:00:00",93,12.25
"2021-08-04 00:00:00",94,12.24
"2021-08-05 00:00:00",95,12.23
"2021-09-16 00:00:00",0,12.77
"2021-09-17 00:00:00",1,12.72
"2021-09-18 00:00:00",2,12.7
"2021-09-19 00:00:00",3,12.69
"2021-09-20 00:00:00",4,12.66
"2021-09-21 00:00:00",5,12.64
"2021-09-22 00:00:00",6,12.64
"2021-09-23 00:00:00",7,12.63
"2021-09-24 00:00:00",8,12.6
"2021-09-25 00:00:00",9,12.59
"2021-09-26 00:00:00",10,12.57
"2021-09-27 00:00:00",11,12.56
"2021-09-28 00:00:00",12,12.55
"2021-09-29 00:00:00",13,12.55
"2021-09-30 00:00:00",14,12.52
"2021-10-01 00:00:00",15,12.51
"2021-10-02 00:00:00",16,12.5
"2021-10-03 00:00:00",17,12.48
"2021-10-04 00:00:00",18,12.49
"2021-10-05 00:00:00",19,12.48
"2021-10-06 00:00:00",20,12.47
"2021-10-07 00:00:00",21,12.45
"2021-10-08 00:00:00",22,12.43
"2021-10-09 00:00:00",23,12.42
"2021-10-10 00:00:00",24,12.4
"2021-10-11 00:00:00",25,12.39
"2021-10-12 00:00:00",26,12.38
"2021-10-13 00:00:00",27,12.37
"2021-10-14 00:00:00",28,12.35
"2021-10-15 00:00:00",29,12.31
"2021-10-16 00:00:00",30,12.27
"2021-10-17 00:00:00",31,12.23
"2021-10-18 00:00:00",32,12.2
"2021-10-19 00:00:00",33,12.18
"2021-10-20 00:00:00",34,12.83
"2021-10-21 00:00:00",35,12.68
"2021-10-22 00:00:00",36,12.65
"2021-10-23 00:00:00",37,12.65
"2021-10-24 00:00:00",38,12.63
"2021-10-25 00:00:00",39,12.62
"2021-10-26 00:00:00",40,12.62
"2021-10-27 00:00:00",41,12.6
"2021-10-28 00:00:00",42,12.59
"2021-10-29 00:00:00",43,12.58
"2021-10-30 00:00:00",44,12.58
"2021-10-31 00:00:00",45,12.57
"2021-11-01 00:00:00",46,12.55
"2021-11-02 00:00:00",47,12.54
"2021-11-03 00:00:00",48,12.51
"2021-11-04 00:00:00",49,12.49
"2021-11-05 00:00:00",50,12.48
"2021-11-06 00:00:00",51,12.47
"2021-11-07 00:00:00",52,12.46
"2021-11-08 00:00:00",53,12.46
"2021-11-09 00:00:00",54,12.45
"2021-11-10 00:00:00",55,12.45
"2021-11-11 00:00:00",56,12.45
"2021-11-12 00:00:00",57,12.43
"2021-11-13 00:00:00",58,12.44
"2021-11-14 00:00:00",59,12.4
"2021-11-15 00:00:00",60,12.37
"2021-11-16 00:00:00",61,12.38
"2021-11-17 00:00:00",62,12.35
"2021-11-18 00:00:00",63,12.34
"2021-11-19 00:00:00",64,12.37
"2021-11-20 00:00:00",65,12.33
"2021-11-21 00:00:00",66,12.3
"2021-11-22 00:00:00",67,12.3
"2021-11-23 00:00:00",68,12.3
"2021-11-24 00:00:00",69,12.27
"2021-11-25 00:00:00",70,12.25
"2021-11-26 00:00:00",71,12.25
"2021-11-27 00:00:00",72,12.25
"2021-11-28 00:00:00",73,12.24
"2021-11-29 00:00:00",74,12.23
"2021-11-30 00:00:00",75,12.21
"2021-12-01 00:00:00",76,12.2
"2021-12-02 00:00:00",77,12.18
"2021-12-03 00:00:00",78,12.2
"2021-12-04 00:00:00",79,12.2
"2021-12-05 00:00:00",80,12.18
"2021-12-06 00:00:00",81,12.15
"2021-12-07 00:00:00",82,12.17
"2021-12-08 00:00:00",83,12.13
"2021-12-09 00:00:00",84,12.11
"2021-12-10 00:00:00",85,12.09
"2021-12-11 00:00:00",86,12.09
"2021-12-12 00:00:00",87,12.11
"2021-12-13 00:00:00",88,12.07
